,Date,Open,High,Low,Close,Volume,Adj Close
0,2020-11-17,17677.82,18495.86,17239.62,17791.08,21447.758132,17791.08
1,2020-11-18,17791.08,18192.69,17352.05,17821.41,11704.827274,17821.41
2,2020-11-19,17821.41,18848.33,17759.09,18670.93,12822.596979,18670.93
3,2020-11-20,18670.84,18983.17,18340.0,18717.9,11451.125148,18717.9
4,2020-11-21,18719.01,18768.5,17628.44,18435.63,13558.920865,18435.63
5,2020-11-22,18435.63,18775.0,18010.2,18385.0,12401.642436,18385.0
6,2020-11-23,18384.71,19436.33,18017.72,19175.26,17097.531922,19175.26
7,2020-11-24,19175.25,19499.0,18451.73,18724.73,13357.919288,18724.73
8,2020-11-25,18724.38,18914.41,16194.47,17157.34,30186.56008,17157.34
9,2020-11-26,17157.79,17464.5,16444.68,17146.41,14575.204039,17146.41
10,2020-11-27,17146.83,17897.48,16872.79,17735.55,9448.876964,17735.55
11,2020-11-28,17735.0,18360.0,17534.19,18195.48,7394.004407,18195.48
12,2020-11-29,18195.49,19881.56,18195.49,19700.79,16511.384477,19700.79
13,2020-11-30,19700.79,19892.85,18080.0,18776.69,20473.697346,18776.69
14,2020-12-01,18776.5,19350.0,18334.0,19212.25,12466.04861,19212.25
15,2020-12-02,19213.88,19615.93,18888.58,19440.0,10621.924634,19440.0
16,2020-12-03,19438.96,19540.0,18560.73,18656.86,10801.355357,18656.86
17,2020-12-04,18656.86,19196.1,18503.95,19158.17,6385.244051,19158.17
18,2020-12-05,19158.18,19432.24,18868.43,19370.88,6153.041782,19370.88
19,2020-12-06,19370.12,19433.11,18908.69,19174.1,6537.67034,19174.1
20,2020-12-07,19174.1,19300.0,18188.58,18317.05,10604.386423,18317.05
21,2020-12-08,18316.21,18645.5,17633.52,18547.52,15606.161893,18547.52
22,2020-12-09,18547.52,18558.92,17899.55,18253.12,10391.677166,18253.12
23,2020-12-10,18253.12,18293.1,17564.08,18032.84,13198.038455,18032.84
24,2020-12-11,18032.84,18950.0,18021.65,18814.25,7059.862267,18814.25
25,2020-12-12,18815.29,19417.61,18721.83,19167.62,9349.438111,19167.62
26,2020-12-13,19168.63,19350.0,18996.75,19269.93,8488.862248,19269.93
27,2020-12-14,19270.02,19564.0,19040.94,19430.07,10242.812573,19430.07
28,2020-12-15,19430.07,21576.14,19285.71,21353.92,19266.584172,21353.92
29,2020-12-16,21352.92,23806.78,21249.03,22821.54,32452.255106,22821.54
30,2020-12-17,22817.49,23283.5,22355.66,23126.14,13253.801042,23126.14
31,2020-12-18,23126.14,24175.17,22763.15,23851.58,14059.411488,23851.58
32,2020-12-19,23851.15,24298.91,23099.32,23481.66,12621.630297,23481.66
33,2020-12-20,23477.66,24122.9,21874.96,22728.0,14964.746162,22728.0
34,2020-12-21,22728.01,23836.73,22364.81,23809.99,13866.141732,23809.99
35,2020-12-22,23812.36,24089.0,22611.0,23220.09,15844.388178,23220.09
36,2020-12-23,23220.25,23790.5,22704.01,23718.94,10632.113695,23718.94
37,2020-12-24,23721.65,24790.01,23420.71,24699.77,11695.877429,24699.77
38,2020-12-25,24700.73,26841.18,24485.29,26473.31,13307.014571,26473.31
39,2020-12-26,26473.63,28395.62,25747.82,26254.23,20110.288605,26254.23
40,2020-12-27,26254.23,27467.78,26072.21,27040.75,12108.911583,27040.75
41,2020-12-28,27037.08,27383.35,25826.17,27356.29,13161.288078,27356.29
42,2020-12-29,27356.38,29000.0,27313.91,28890.0,17802.837099,28890.0
43,2020-12-30,28888.56,29315.42,27910.0,28969.01,17091.981683,28969.01
44,2020-12-31,28961.73,29678.0,28686.69,29406.54,11050.689495,29406.54
45,2021-01-01,29408.99,33333.33,29023.16,32215.48,25994.098945,32215.48
46,2021-01-02,32203.42,34786.0,32000.0,33071.12,24687.257861,33071.12
47,2021-01-03,33071.12,33651.2,28089.05,32015.4,28654.793274,32015.4
48,2021-01-04,32016.21,34498.0,29907.84,34048.81,24612.321095,34048.81
49,2021-01-05,34048.8,37002.2,33387.97,36851.55,25492.326064,36851.55
50,2021-01-06,36844.23,40404.26,36350.0,39488.0,25543.253481,39488.0
51,2021-01-07,39487.99,42000.18,36588.03,40610.16,31055.1669,40610.16
52,2021-01-08,40603.72,41430.0,38764.34,40239.25,15159.818761,40239.25
53,2021-01-09,40239.25,41460.0,35080.12,38162.04,22678.561742,38162.04
54,2021-01-10,38160.0,38268.52,30330.55,35427.77,54760.931449,35427.77
55,2021-01-11,35412.07,36650.0,32507.09,34029.14,29041.848731,34029.14
56,2021-01-12,34028.38,37800.0,32350.0,37383.06,28162.234627,37383.06
57,2021-01-13,37374.52,40110.0,36700.0,39113.72,23519.921702,39113.72
58,2021-01-14,39113.71,39692.96,34353.19,36734.62,28136.815324,36734.62
59,2021-01-15,36734.6,37950.0,35372.83,36003.52,19946.175854,36003.52
60,2021-01-16,36003.52,36845.81,33840.0,35833.58,16364.179013,35833.58
61,2021-01-17,35820.41,37455.23,34770.0,36632.24,15153.280937,36632.24
62,2021-01-18,36634.06,37889.0,35866.84,35902.6,17543.277233,35902.6
63,2021-01-19,35901.17,36415.05,33410.0,35489.56,23863.422479,35489.56
64,2021-01-20,35489.56,35612.24,30048.06,30837.51,34232.317575,30837.51
65,2021-01-21,30837.51,33860.0,28800.19,32980.82,30817.552692,32980.82
66,2021-01-22,32980.82,33480.89,31422.01,32100.29,16540.822015,32100.29
67,2021-01-23,32100.29,33102.0,30945.08,32290.8,15019.502281,32290.8
68,2021-01-24,32290.81,34886.41,31917.12,32253.49,21644.82679,32253.49
69,2021-01-25,32254.23,32933.79,30829.73,32495.0,22053.97,32495.0
70,2021-01-26,32494.54,32572.86,29253.52,30410.09,26997.673451,30410.09
71,2021-01-27,30411.89,33840.0,29900.0,33443.5,20477.253351,33443.5
72,2021-01-28,33447.34,38650.0,31972.44,34261.2,52280.937759,34261.2
73,2021-01-29,34261.2,34948.88,32848.16,34299.6,19192.800679,34299.6
74,2021-01-30,34300.41,34376.61,32193.77,33111.96,14021.547874,33111.96
75,2021-01-31,33127.48,34719.17,32323.23,33528.41,17029.55139,33528.41
76,2021-02-01,33524.75,36023.87,33425.92,35511.95,16950.850402,35511.95
77,2021-02-02,35507.2,37710.0,35404.84,37675.81,17848.196074,37675.81
78,2021-02-03,37667.42,38770.9,36183.67,36977.41,21330.935019,36977.41
79,2021-02-04,36977.4,38370.0,36602.56,38331.68,15116.496443,38331.68
80,2021-02-05,38331.69,40999.0,38254.05,39258.22,20982.588921,39258.22
81,2021-02-06,39256.59,39742.17,37356.76,38870.21,20141.067324,38870.21
82,2021-02-07,38866.71,46833.31,38020.4,46426.88,30325.195725,46426.88
83,2021-02-08,46425.25,48222.0,45000.0,46480.92,26910.411658,46480.92
84,2021-02-09,46480.92,47376.73,43733.8,44846.51,19260.412692,44846.51
85,2021-02-10,44844.14,48714.07,44014.3,48003.02,19294.650341,48003.02
86,2021-02-11,48004.02,49000.0,46243.5,47393.0,16911.260489,47393.0
87,2021-02-12,47390.98,48202.0,46251.0,47205.88,12603.942408,47205.88
88,2021-02-13,47205.87,49737.39,47081.81,48631.27,13151.685714,48631.27
89,2021-02-14,48632.49,49048.38,45766.79,47915.01,17832.367688,47915.01
90,2021-02-15,47915.0,50689.37,47050.0,49145.04,19111.15623,49145.04
91,2021-02-16,49144.24,52648.89,48947.8,52139.34,16618.026044,52139.34
92,2021-02-17,52132.44,52543.5,50874.79,51555.69,14236.401357,51555.69
93,2021-02-18,51550.92,56386.8,50733.0,55922.05,17164.695659,55922.05
94,2021-02-19,55916.46,57600.0,53946.06,55885.1,17954.104527,55885.1
95,2021-02-20,55885.1,58362.91,55516.17,57465.09,12896.587587,57465.09
96,2021-02-21,57463.22,57547.57,47689.55,54107.06,31886.732513,54107.06
97,2021-02-22,54105.03,54184.35,44900.0,48888.16,45041.151011,48888.16
98,2021-02-23,48888.17,51388.88,47000.0,49695.47,20862.665218,49695.47
99,2021-02-24,49694.62,52050.0,46690.0,47079.75,19683.294845,47079.75
100,2021-02-25,47079.75,48444.0,44116.43,46302.75,26609.175548,46302.75
101,2021-02-26,46302.75,48374.56,45017.05,46148.23,15037.50423,46148.23
102,2021-02-27,46148.23,46667.18,43007.42,45226.61,20289.24517,45226.61
103,2021-02-28,45217.4,49830.73,45040.89,49638.48,18396.163165,49638.48
104,2021-03-01,49638.48,50251.37,47052.63,48487.26,15056.552993,48487.26
105,2021-03-02,48478.31,52669.69,48139.76,50371.33,16997.485112,50371.33
106,2021-03-03,50373.88,51796.4,47487.32,48365.49,18402.423954,48365.49
107,2021-03-04,48353.42,49471.45,46297.15,48761.85,17349.369539,48761.85
108,2021-03-05,48755.76,49199.0,47063.48,48897.46,9074.373038,48897.46
109,2021-03-06,48898.13,51467.0,48898.13,50989.04,12504.969856,50989.04
110,2021-03-07,50972.4,52408.17,49315.41,52394.72,15904.961292,52394.72
111,2021-03-08,52394.49,54904.89,51840.0,54887.19,16591.537867,54887.19
112,2021-03-09,54886.56,57408.48,53002.75,55855.5,20278.836778,55855.5
113,2021-03-10,55855.5,58171.16,54268.85,57797.82,17260.568725,57797.82
114,2021-03-11,57798.69,58090.0,55010.0,57219.44,17235.231838,57219.44
115,2021-03-12,57219.0,61810.71,56079.88,61168.93,16960.42285,61168.93
116,2021-03-13,61170.96,61680.0,59001.0,59001.01,11712.720984,59001.01
117,2021-03-14,59001.01,60615.74,54614.52,55615.12,23675.549231,55615.12
118,2021-03-15,55619.49,56934.34,53261.07,56915.32,19650.476746,56915.32
119,2021-03-16,56910.24,58990.0,54134.0,58928.67,18386.571553,58928.67
120,2021-03-17,58928.66,60134.21,57001.55,57633.58,17724.168503,57633.58
121,2021-03-18,57633.58,59470.47,56263.89,58041.31,13619.424094,58041.31
122,2021-03-19,58041.3,59896.85,57832.84,58108.52,11146.951572,58108.52
123,2021-03-20,58108.51,58603.0,55397.76,57387.45,11036.48998,57387.45
124,2021-03-21,57377.48,58425.87,53692.13,54099.99,15959.557079,54099.99
125,2021-03-22,54099.99,55838.66,53000.0,54351.96,16161.699914,54351.96
126,2021-03-23,54346.08,57200.0,51689.0,52286.31,20735.28975,52286.31
127,2021-03-24,52286.31,53249.16,50403.28,51312.16,21827.426724,51312.16
128,2021-03-25,51312.16,55098.86,51249.18,55055.38,14412.703151,55055.38
129,2021-03-26,55055.37,56654.12,53966.17,55821.67,11970.966939,55821.67
130,2021-03-27,55821.67,56537.42,54700.0,55764.78,9638.708069,55764.78
131,2021-03-28,55764.78,58392.09,54900.0,57620.16,15516.273733,57620.16
132,2021-03-29,57623.05,59371.41,57028.35,58769.99,11765.077269,58769.99
133,2021-03-30,58769.99,59810.44,56888.0,58772.47,15484.229932,58772.47
134,2021-03-31,58769.05,59483.98,57930.0,58706.48,11861.864855,58706.48
135,2021-04-01,58701.22,60134.96,58443.9,58966.02,10794.665062,58966.02
136,2021-04-02,58966.01,59779.2,56862.88,57060.02,10999.872988,57060.02
137,2021-04-03,57062.87,58492.91,56440.11,58203.64,7725.859553,58203.64
138,2021-04-04,58203.65,59266.51,56799.0,59128.9,10839.046882,59128.9
139,2021-04-05,59128.89,59499.0,57400.0,57982.78,10848.928563,57982.78
140,2021-04-06,57982.78,58633.52,55417.39,55935.39,16752.903433,55935.39
141,2021-04-07,55934.61,58151.08,55671.51,58075.58,10204.845349,58075.58
142,2021-04-08,58075.58,58920.37,57628.56,58105.83,9144.261725,58105.83
143,2021-04-09,58105.83,61278.22,57870.0,59748.95,13538.453981,59748.95
144,2021-04-10,59748.94,60664.95,59130.87,59963.16,8182.893617,59963.16
145,2021-04-11,59963.89,61375.83,59364.24,59834.64,11803.247385,59834.64
146,2021-04-12,59834.64,63767.29,59770.55,63584.15,17274.569637,63584.15
147,2021-04-13,63584.15,64918.96,61275.54,62961.88,17844.820999,62961.88
148,2021-04-14,62961.88,63834.01,62036.21,63211.91,11944.035895,63211.91
149,2021-04-15,63211.93,63577.78,60051.01,61414.25,18261.440732,61414.25
150,2021-04-16,61414.25,62568.78,59659.03,60054.13,11193.249527,60054.13
151,2021-04-17,60054.13,60416.36,51680.0,56252.24,25601.505032,56252.24
152,2021-04-18,56249.73,57598.46,54277.77,55668.99,16617.612101,55668.99
153,2021-04-19,55668.98,57093.0,53400.0,56475.34,18330.713397,56475.34
154,2021-04-20,56472.52,56800.42,53651.22,53813.61,16616.973914,53813.61
155,2021-04-21,53809.38,55464.27,50500.0,51701.01,27750.267885,51701.01
156,2021-04-22,51701.0,52131.93,47500.0,51154.49,26733.486738,51154.49
157,2021-04-23,51156.01,51205.87,48714.57,50088.3,12374.175124,50088.3
158,2021-04-24,50095.9,50600.0,47011.0,49115.04,13015.568804,49115.04
159,2021-04-25,49115.05,54407.63,48811.16,54044.67,20386.819381,54044.67
160,2021-04-26,54044.67,55508.93,53286.52,55069.96,11894.628396,55069.96
161,2021-04-27,55065.48,56497.38,53888.0,54885.35,12836.169161,54885.35
162,2021-04-28,54885.35,55230.0,52357.77,53582.7,14368.622031,53582.7
163,2021-04-29,53582.69,57999.0,53070.0,57755.9,15187.98835,57755.9
164,2021-04-30,57759.48,58526.06,57065.72,57846.76,9135.509731,57846.76
165,2021-05-01,57853.41,57962.67,56071.42,56610.08,8839.982121,56610.08
166,2021-05-02,56610.08,59017.41,56505.0,57212.47,12975.114339,57212.47
167,2021-05-03,57212.46,57240.05,53100.0,53230.95,21592.331013,53230.95
168,2021-05-04,53227.2,57994.0,52937.6,57515.37,17884.623731,57515.37
169,2021-05-05,57515.37,58422.81,55300.0,56432.63,15976.450711,56432.63
170,2021-05-06,56432.63,58733.43,55295.09,57368.78,15503.119995,57368.78
171,2021-05-07,57368.77,59561.41,56970.0,58946.34,13942.18675,58946.34
172,2021-05-08,58949.3,59301.48,56272.2,58305.56,13943.562962,58305.56
173,2021-05-09,58305.56,59580.76,53500.0,55859.94,19970.479448,55859.94
174,2021-05-10,55869.88,56938.77,54490.42,56745.27,14202.416987,56745.27
175,2021-05-11,56751.29,58039.8,48650.0,49607.98,21494.859173,49607.98
176,2021-05-12,49607.98,51428.2,46200.0,49677.77,34162.207053,49677.77
177,2021-05-13,49677.85,51564.47,48879.27,49886.57,17190.2435,49886.57
178,2021-05-14,49890.53,50706.88,46578.94,46790.33,18615.478098,46790.33
179,2021-05-15,46787.21,49795.04,43864.78,46443.91,27272.043382,46443.91
180,2021-05-16,46444.84,46645.99,42111.0,43557.0,36781.379095,43557.0
181,2021-05-17,43557.0,45830.0,42266.49,42870.07,26558.725546,42870.07
182,2021-05-18,42870.07,43598.0,30004.24,36736.94,79479.72648,36736.94
183,2021-05-19,36736.94,42500.85,34953.21,40647.1,53005.043129,40647.1
184,2021-05-20,40607.36,42277.77,33506.2,37330.71,56334.337966,37330.71
185,2021-05-21,37326.36,38880.0,35251.81,37482.5,30719.241922,37482.5
186,2021-05-22,37489.77,38300.27,31130.74,34725.6,50039.498065,34725.6
187,2021-05-23,34731.64,39988.0,34421.59,38836.83,34201.16934,38836.83
188,2021-05-24,38843.13,39842.0,36473.95,38363.61,24464.210466,38363.61
189,2021-05-25,38363.61,40900.0,37843.0,39292.33,23360.631085,39292.33
190,2021-05-26,39287.51,40443.41,37185.1,38560.0,17713.856457,38560.0
191,2021-05-27,38561.41,38902.26,34700.0,35675.34,29927.177231,35675.34
192,2021-05-28,35675.35,37345.31,33655.7,34625.5,25264.965156,34625.5
193,2021-05-29,34626.64,36500.0,33407.32,35661.0,15366.057554,35661.0
194,2021-05-30,35661.01,37500.0,34183.9,37266.51,20691.320977,37266.51
195,2021-05-31,37266.5,37918.54,35683.88,36685.87,19265.087438,36685.87
196,2021-06-01,36685.87,38235.22,35909.54,37568.67,14636.826789,37568.67
197,2021-06-02,37568.66,39475.45,37168.01,39250.0,17391.70896,39250.0
198,2021-06-03,39249.99,39285.96,35578.23,36853.91,19950.226646,36853.91
199,2021-06-04,36848.29,37924.61,34823.78,35521.12,16838.298113,35521.12
200,2021-06-05,35521.12,36475.78,35230.0,35807.49,10837.528416,35807.49
201,2021-06-06,35810.93,36809.14,33313.77,33573.37,18293.178467,33573.37
202,2021-06-07,33570.0,34085.63,31050.01,33396.46,31935.940128,33396.46
203,2021-06-08,33403.31,37574.48,32418.21,37408.94,32116.489127,37408.94
204,2021-06-09,37409.51,38470.0,35791.5,36686.82,28686.368977,36686.82
205,2021-06-10,36693.32,37689.2,35959.48,37336.26,20638.05904,37336.26
206,2021-06-11,37338.58,37461.66,34627.78,35538.27,20239.320288,35538.27
207,2021-06-12,35549.07,39375.0,34800.0,39019.09,21152.166378,39019.09
208,2021-06-13,39028.75,41090.0,38750.0,40530.52,28828.998826,40530.52
209,2021-06-14,40530.51,41329.85,39503.21,40146.26,21768.649291,40146.26
210,2021-06-15,40143.09,40515.03,38107.77,38341.9,22985.749581,38341.9
211,2021-06-16,38337.47,39541.99,37369.33,38083.0,22582.740117,38083.0
212,2021-06-17,38088.85,38200.0,35145.9,35834.92,23702.109348,35834.92
213,2021-06-18,35834.92,36464.12,34821.14,35493.34,21728.413903,35493.34
214,2021-06-19,35493.34,36123.15,33333.0,35596.6,25513.953814,35596.6
215,2021-06-20,35597.01,35742.47,31255.89,31609.48,51850.87864,31609.48
216,2021-06-21,31606.26,33300.0,28808.0,32521.77,52834.742847,32521.77
217,2021-06-22,32524.73,34950.0,31714.0,33685.39,32460.030177,33685.39
218,2021-06-23,33682.23,35290.01,32311.63,34657.39,21959.024224,34657.39
219,2021-06-24,34655.93,35500.0,31277.01,31577.81,30057.840458,31577.81
220,2021-06-25,31577.81,32723.01,30153.21,32287.41,28775.940097,32287.41
221,2021-06-26,32282.64,34750.0,31992.74,34702.69,25012.989079,34702.69
222,2021-06-27,34707.81,35310.33,33860.04,34496.95,22295.869196,34496.95
223,2021-06-28,34496.95,36630.44,34231.72,35913.8,23478.876501,35913.8
224,2021-06-29,35913.8,36109.98,34050.0,35054.97,22113.210803,35054.97
225,2021-06-30,35045.36,35068.36,32723.75,33510.01,21759.596142,33510.01
226,2021-07-01,33510.0,33987.52,32697.06,33785.72,16804.549908,33785.72
227,2021-07-02,33788.26,34950.0,33322.78,34677.72,12466.909459,34677.72
228,2021-07-03,34676.2,35970.0,34371.23,35289.84,11770.593582,35289.84
229,2021-07-04,35292.72,35296.25,33140.0,33703.89,18477.164767,33703.89
230,2021-07-05,33703.89,35116.52,33531.27,34217.74,18669.871986,34217.74
231,2021-07-06,34217.74,35066.66,33780.4,33866.64,16221.485781,33866.64
232,2021-07-07,33863.86,33936.83,32104.22,32868.92,20754.462088,32868.92
233,2021-07-08,32872.07,34100.0,32272.17,33816.26,12803.631937,33816.26
234,2021-07-09,33816.26,34258.39,33025.01,33500.22,11966.546163,33500.22
235,2021-07-10,33500.22,34613.21,33310.22,34259.99,9968.938,34259.99
236,2021-07-11,34260.0,34671.94,32660.21,33091.54,13935.478189,33091.54
237,2021-07-12,33086.72,33339.72,32200.74,32729.46,11023.435081,32729.46
238,2021-07-13,32729.46,33114.23,31586.52,32824.43,12731.588948,32824.43
239,2021-07-14,32823.1,33185.57,31135.08,31874.74,13494.339803,31874.74
240,2021-07-15,31872.37,32257.3,31016.66,31388.05,12574.198489,31388.05
241,2021-07-16,31386.48,31956.57,31170.19,31525.77,8632.632977,31525.77
242,2021-07-17,31523.22,32438.67,31130.06,31779.8,9435.225386,31779.8
243,2021-07-18,31781.55,31897.94,30411.77,30836.73,12677.524297,30836.73
244,2021-07-19,30836.72,31062.0,29288.0,29792.75,15791.472035,29792.75
245,2021-07-20,29796.21,32830.89,29496.05,32141.47,20544.169418,32141.47
246,2021-07-21,32141.47,32592.52,31722.01,32287.73,11185.176669,32287.73
247,2021-07-22,32287.73,33646.94,31984.75,33635.55,12318.442463,33635.55
248,2021-07-23,33635.56,34507.67,33415.46,34272.4,11995.4315,34272.4
249,2021-07-24,34274.13,35424.58,33867.06,35402.13,12023.633971,35402.13
250,2021-07-25,35402.13,40556.0,35236.73,37251.63,41147.777233,37251.63
251,2021-07-26,37249.77,39547.37,36398.14,39463.08,25026.462654,39463.08
252,2021-07-27,39463.09,40926.84,38790.0,40028.37,29271.360473,40028.37
253,2021-07-28,40027.99,40650.0,39241.66,40030.0,16621.034022,40030.0
254,2021-07-29,40030.0,42325.75,38336.66,42234.99,19099.697758,42234.99
255,2021-07-30,42235.0,42435.28,41050.0,41485.57,14034.969037,41485.57
256,2021-07-31,41485.57,42607.35,39420.0,39865.66,16860.967124,39865.66
257,2021-08-01,39865.66,40465.27,38683.0,39156.52,16616.972171,39156.52
258,2021-08-02,39156.51,39785.0,37634.78,38202.09,15414.75855,38202.09
259,2021-08-03,38202.09,39961.0,37500.01,39724.9,13846.906003,39724.9
260,2021-08-04,39724.89,41370.0,37321.0,40879.99,23138.611553,40879.99
261,2021-08-05,40880.0,43390.0,39810.0,42863.39,24604.81064,42863.39
262,2021-08-06,42859.18,44732.9,42430.65,44603.26,21150.56013,44603.26
263,2021-08-07,44605.27,45362.31,43271.06,43823.23,19175.017708,43823.23
264,2021-08-08,43823.22,46492.0,42800.0,46264.6,19631.592252,46264.6
265,2021-08-09,46264.6,46723.64,44644.0,45597.85,14000.675568,45597.85
266,2021-08-10,45600.79,46779.5,45363.6,45532.47,13776.136576,45532.47
267,2021-08-11,45532.47,46228.23,43788.36,44419.43,14617.608309,44419.43
268,2021-08-12,44419.43,47888.04,44240.0,47820.33,12030.759883,47820.33
269,2021-08-13,47820.33,48200.0,46036.39,47101.08,11865.62905,47101.08
270,2021-08-14,47101.08,47408.36,45530.0,47008.84,12408.146584,47008.84
271,2021-08-15,47010.71,48077.8,45670.09,45913.14,12924.620176,45913.14
272,2021-08-16,45913.14,47168.1,44405.07,44689.46,14016.383335,44689.46
273,2021-08-17,44689.46,46020.0,44211.85,44711.19,12356.243333,44711.19
274,2021-08-18,44711.19,47048.46,43934.0,46754.71,14246.1551,46754.71
275,2021-08-19,46754.72,49400.0,46639.71,49342.38,13919.025533,49342.38
276,2021-08-20,49342.38,49800.0,48268.6,48859.02,10436.977083,48859.02
277,2021-08-21,48859.01,49520.52,48100.0,49282.12,8070.554015,49282.12
278,2021-08-22,49282.11,50542.3,49045.0,49500.43,11437.097006,49500.43
279,2021-08-23,49500.43,49880.03,47601.0,47685.9,11705.576907,47685.9
280,2021-08-24,47685.49,49265.54,47125.64,48981.92,10787.593274,48981.92
281,2021-08-25,48981.91,49351.67,46299.87,46850.23,14021.3529,46850.23
282,2021-08-26,46855.73,49157.89,46364.0,49071.58,12064.851132,49071.58
283,2021-08-27,49082.73,49303.94,48381.46,48920.4,6522.302352,48920.4
284,2021-08-28,48921.64,49656.34,47810.0,48806.77,9061.601115,48806.77
285,2021-08-29,48806.77,48914.15,46865.46,46997.23,11457.89781,46997.23
286,2021-08-30,46997.22,48269.25,46705.41,47114.52,13135.07783,47114.52
287,2021-08-31,47114.51,49124.64,46538.2,48834.11,13136.0917,48834.11
288,2021-09-01,48834.11,50386.28,48619.39,49271.91,13553.207587,49271.91
289,2021-09-02,49271.91,51051.61,48351.12,50017.04,16495.398811,50017.04
290,2021-09-03,50017.05,50552.81,49399.8,49942.28,8225.84177,49942.28
291,2021-09-04,49942.88,51907.87,49490.0,51792.81,9766.593094,51792.81
292,2021-09-05,51792.81,52799.0,51026.88,52695.57,11035.036686,52695.57
293,2021-09-06,52695.57,52937.84,43001.0,46878.12,28682.716114,46878.12
294,2021-09-07,46878.13,47355.0,44420.28,46062.42,20482.22856,46062.42
295,2021-09-08,46062.01,47393.87,45518.09,46393.93,13260.83115,46393.93
296,2021-09-09,46393.93,47036.62,44150.0,44857.81,13180.90372,44857.81
297,2021-09-10,44853.33,45983.0,44730.22,45172.22,8617.19555,45172.22
298,2021-09-11,45172.23,46460.9,44746.67,46020.0,8583.56192,46020.0
299,2021-09-12,46020.0,46871.08,43400.0,44949.2,17164.92852,44949.2
300,2021-09-13,44949.2,47266.56,44666.0,47119.85,10459.9845,47119.85
301,2021-09-14,47119.85,48468.0,46700.0,48142.8,10336.69391,48142.8
